調査語,認知率(全体),理解率(全体),使用率(全体),認知率(60歳以上),理解率(60歳以上),使用率(60歳以上),調査種類,調査回,調査時期
ホスピス,79.3,59.6,40.6,69.9,46.1,31.8,Ｂ(2),2,H16年8月
ポテンシャル,38.5,21.1,14.5,20.1,8.4,4.5,Ａ,,H14年10月
ボトムアップ,25,14.4,7.6,12.8,6.9,3.1,Ｂ(1),6,H15年9月
ボトルネック,25.6,12.3,7,13.3,5.1,2.8,Ｂ(1),4,H15年2月
ポピュリズム,19.9,10.3,4.3,8.9,4.1,1.8,Ｂ(1),7,H15年10月
ボランティア,97.2,90.8,86.2,92.5,80.2,75.9,Ａ,,H14年10月
ホワイトカラー,89.1,73.3,48.6,87.7,67.6,41.9,Ａ,,H14年10月
マーケティング,77.2,58.1,38.9,56.4,36.3,20.7,Ａ,,H14年10月
マイナーチェンジ,55,37.1,26,29.8,14.9,8,Ｂ(1),7,H15年10月
マイナスイオン,91,72.8,61.4,79.2,54.7,41.4,Ｂ(2),1,H16年5月
マイノリティー,38,19.2,10,16,8.2,4.7,Ｂ(2),1,H16年5月
マイルストーン,12.1,6.6,2.8,5.1,3.3,0.7,Ｂ(1),5,H15年2月
マクロ,43.4,27,22.2,25.3,11.1,9.9,Ｃ,,H16年1月
マクロ,47.3,32.4,20.1,35.9,25.4,14.9,Ａ,,H14年10月
マスタープラン,55.9,32.6,18.2,44.8,25.7,14.9,Ｂ(1),1,H14年12月
マッチング,52.9,37,20.4,31.1,21.9,11.9,Ｂ(1),3,H15年1月
マニフェスト,12.3,6.1,3.8,5.5,2.3,1.8,Ｂ(1),4,H15年2月
マニフェスト,35.9,20.2,9.3,19.5,10.1,3.6,Ｂ(1),6,H15年9月
マニュアル,85.7,74.4,65.5,63.2,44,33,Ｂ(1),2,H14年12月
マネージメント,86.4,60,36.6,67.8,37.4,21.8,Ａ,,H14年10月
マネージメント・システム,70.7,34.6,15.9,64.6,26.5,10.5,Ａ,,H14年10月
マルチメディア,84.9,59.3,40.8,64.3,35.5,21,Ｂ(1),1,H14年12月
マンパワー,36,22.4,13.7,19.3,10.4,6,Ｂ(1),5,H15年2月
ミスマッチ,83.8,69.1,49.8,58.6,39.7,21.8,Ａ,,H14年10月
ミッション,37.5,22.4,14.6,20.8,8.9,6.8,Ｃ,,H16年1月
ミッション,76.4,51.1,32.5,59.9,31,19.8,Ａ,,H14年10月
メガフロート,29.5,11.8,3.8,15.2,5.1,1.4,Ｂ(1),4,H15年2月
メセナ,15.5,5.7,3,8,2.1,1.6,Ａ,,H14年10月
メッセージ,96.3,88.4,75.6,88.1,74.2,53.4,Ｂ(1),3,H15年1月
メディア,80.2,63.2,47.2,57.5,35.8,20.6,Ｂ(1),6,H15年9月
メディア・リテラシー,11.8,5.3,2.4,8,3.7,1.4,Ｂ(1),3,H15年1月
メディカルチェック,74.4,52.9,32,53.5,31.6,18.8,Ｂ(2),2,H16年8月
メリット,91.1,82.7,77.8,77.3,61.1,56.7,Ｂ(1),2,H14年12月
メンタルヘルス,53.5,32,17.6,32.8,18.3,10.1,Ｂ(1),2,H14年12月
メンテナンス,84.8,71.2,57.5,62.6,46.6,35.4,Ｂ(1),3,H15年1月
モータリゼーション,38.7,21.7,12.7,26.2,13.6,7.3,Ｂ(1),2,H14年12月
モチベーション,53.2,31.7,21.5,22.9,12.3,3.9,Ａ,,H14年10月
モニタリング,48.6,28.9,13.6,32.4,14.5,3.9,Ａ,,H14年10月
モバイル,60.1,32.8,24.4,19.3,8,3.3,Ｂ(1),5,H15年2月
モビリティー,17.6,7.9,3.4,5.8,2.2,0.7,Ｂ(1),6,H15年9月
モラトリアム,23.9,11.4,6.5,12.2,5.5,3.9,Ａ,,H14年10月
モラルハザード,24.6,10.5,3.9,13.8,4.6,0.6,Ａ,,H14年10月
モラルハラスメント,38.8,19.4,6.6,30.9,15.2,3.5,Ｂ(2),1,H16年5月
ユーザー,80.7,65.4,53,56.7,39.1,28.6,Ｂ(1),2,H14年12月
ユーティリティー,40.9,24.7,15.6,16.1,9.2,4.6,Ｂ(1),7,H15年10月
ユニットケア,29.7,13.2,5.5,25.7,11.5,3.7,Ｂ(2),1,H16年5月
ユニバーサルサービス,48.1,21.7,7.9,43.9,16.6,8.6,Ａ,,H14年10月
ユニバーサルデザイン,53.4,29.8,11.7,39.3,18.9,6.8,Ｂ(1),3,H15年1月
ユビキタス,7.4,3.9,2.3,3.2,1.6,0.5,Ｂ(1),4,H15年2月
ライフサイエンス,39.9,19.9,8.5,22.2,10.4,3.8,Ｂ(1),5,H15年2月
ライフサイクル,74.4,55,37.2,54.8,35.7,23.6,Ｂ(1),1,H14年12月
ライフスタイル,85.5,70.4,54.3,66.5,44.7,29.1,Ａ,,H14年10月
ライフステージ,61.3,37.7,18.1,36.8,20.5,11.6,Ｂ(1),3,H15年1月
ライフライン,80.4,51.8,32.4,63,33.1,20.4,Ａ,,H14年10月
ライブラリー,72.1,50,30.3,47.5,25.4,16.6,Ａ,,H14年10月
ラディカル,24.2,12.9,6.6,11.7,6.4,2.1,Ｂ(1),7,H15年10月
リアルタイム,80.7,58,39.5,55.7,29.9,16.1,Ａ,,H14年10月
リース,88.7,78.4,68.5,79.2,63.7,54.8,Ｂ(1),1,H14年12月
リーズナブル,55.2,39.1,29.6,22.1,10.8,6,Ｂ(1),4,H15年2月
リーダーシップ,94.2,85.1,68.8,87.8,70.2,51.4,Ａ,,H14年10月
リードタイム,20.2,11.2,6.8,18,8.4,5.2,Ｂ(2),2,H16年8月
リーフレット,34.4,23.6,15.7,21.4,13.2,7.4,Ｂ(1),1,H14年12月
リコール,83.2,62.3,37.9,71.7,47.1,31,Ａ,,H14年10月
リサイクル,97.1,91.1,87,94.3,82.8,77,Ａ,,H14年10月
リスク,87.3,71.5,63.3,72.6,49.7,41.9,Ａ,,H14年10月
リストラ,97.8,91.8,79.8,93.2,80.6,66,Ｂ(1),3,H15年1月
リターナブル,18.5,9.8,4.5,8.2,3.9,1,Ｂ(2),1,H16年5月
リターン,76.7,59.4,41.5,55.1,34.9,21.3,Ｂ(1),5,H15年2月
リデュース,16,10.3,5.4,9.1,5.2,2.4,Ｂ(2),2,H16年8月
リテラシー,10.7,6.3,3.9,2.3,1.1,0.6,Ａ,,H14年10月
リニューアル,74.7,62.5,48.2,41,27.6,17.1,Ｂ(1),2,H14年12月
リノベーション,21.6,9.2,3.8,10.1,2.5,0.7,Ｂ(1),4,H15年2月
リバウンド,80.2,65.9,54.4,56.5,37.4,27.1,Ｂ(2),2,H16年8月
リハビリテーション,94.8,87.3,72.7,90,79.6,71.1,Ｂ(1),1,H14年12月
リビングウィル,9.9,5.2,2.4,8.2,4.5,2.3,Ｂ(2),1,H16年5月
リフォーム,93.5,84.7,72.9,82.9,64.7,54.4,Ｂ(1),5,H15年2月
リフレッシュ,92.2,81.5,76.6,81.2,61.3,54.1,Ａ,,H14年10月
リユース,18.7,12.2,6.5,5.8,2.7,1.9,Ｂ(2),1,H16年5月
リリース,72,50.7,37.1,49.4,26.8,18.4,Ｂ(2),2,H16年8月
リンク,55.9,38.5,33.9,25.6,10.4,8.1,Ｃ,,H16年1月
ルール,94.1,90.1,85.5,83.6,77,70.5,Ｂ(1),2,H14年12月
レイオフ,29,18.2,9.9,22.5,13.8,6.9,Ｂ(1),7,H15年10月
レクリエーション,94.9,87.7,80.8,88.2,77.5,72.7,Ａ,,H14年10月
レシピエント,11.5,4.9,2.5,5.3,2.7,1.4,Ｂ(2),1,H16年5月
レジュメ,20.1,15.5,11.1,8.7,6.7,4.9,Ｂ(1),6,H15年9月
レンジャー,59.1,34.9,20.5,52.4,26.4,15.2,Ｂ(2),2,H16年8月
ロースクール,20.9,14.9,6,8.1,5.4,2,Ｂ(1),6,H15年9月
ロードプライシング,6.1,3,0.5,2,1.1,0,Ｂ(1),6,H15年9月
ログイン,32.6,23.4,17,10.2,6.4,3.7,Ａ,,H14年10月
ワーキンググループ,54.4,34.3,19.4,32.3,16.2,9.6,Ｂ(1),2,H14年12月
ワークシェアリング,53,32.2,17.7,41.8,22.8,13,Ｂ(2),1,H16年5月
ワークショップ,75.2,48.9,27.7,54,31.6,18.4,Ａ,,H14年10月
ワンストップ,34.4,18.2,9.4,30.7,12.3,6.7,Ｂ(2),2,H16年8月
